"采购建议","分类","数量","推荐型号/规格","淘宝搜索关键词","参考价下限(元)","参考价上限(元)","说明","初始图片对照"
"必买","发射端主控","1","ESP32 开发板","ESP32 开发板 CP2102","10","20","预算 DIY 发射端读取摇杆/开关并通过 UART 发包","是：初始图片未覆盖，仍需额外挑选"
"必买","发射端摇杆","2","PS2 双轴摇杆模块","PS2 双轴 摇杆 模块","8","16","两只共价；预算方案先别上霍尔摇杆","是：初始图片未覆盖，仍需额外挑选"
"必买","发射端开关","1 批","小型拨杆/按键","小型 拨杆 开关 按键","5","12","急停、水炮、灯光等功能输入","是：初始图片未覆盖，仍需额外挑选"
"必买","发射端电源","1 套","18650 电池盒/单节供电小方案","18650 电池盒 带开关","8","15","预算方案先做能用，不追求成品结构","是：初始图片未覆盖，仍需额外挑选"
"必买","发射端无线模块","1","EBYTE E220-900T22D","E220-900T22D LoRa 串口 模块","30","40","预算方案主无线链路","是：初始图片未覆盖，仍需额外挑选"
"必买","接收端无线模块","1","EBYTE E220-900T22D","E220-900T22D LoRa 串口 模块","30","40","船端 UART 透明传输到 STM32","是：初始图片未覆盖，仍需额外挑选"
"必买","无线链路天线","2","868/915MHz SMA 天线","915M SMA 天线 胶棒","18","30","两根总价，频段和接口要与模块一致；频段/功率按本地法规确认","是：初始图片未覆盖，仍需额外挑选"
"必买","主控板","1","STM32F103C8T6 最小系统板","STM32F103C8T6 最小系统板","10","20","与当前仓库固件方向一致","是：初始图片未覆盖，仍需额外挑选"
"必买","下载器","1","ST-Link V2","ST-Link V2 下载器","8","15","烧录 STM32 必备","是：初始图片未覆盖，仍需额外挑选"
"必买","船体板件","1","1/30 飞鱼号板件","1/30 飞鱼号板件 不含动力","110","140","当前项目默认船体","否：初始图片已有 1/30 飞鱼号板件"
"必买","推进电机","1","280 有刷电机 6V","280 有刷电机 6V 船模","12","20","比 130 马达更适合作主推进","是：初始图片未覆盖，仍需额外挑选"
"必买","有刷电调","1","20A 级有刷 ESC","有刷 电调 20A 2S 6V 船模","20","35","优先选成熟低成本 20A 级件","是：初始图片里是 2S 5A 无刷电调，不是当前推荐件"
"必买","电机座","1","280 电机固定座","280 电机座 船模","3","8","与船体安装方式匹配","是：初始图片未覆盖，仍需额外挑选"
"必买","传动轴系","1","2mm 轴系总成","船模 2mm 轴系 传动轴","10","18","轴管/内轴/铜套尽量成套买","是：初始图片未覆盖，仍需额外挑选"
"必买","联轴器","1","2mm 转 3.17mm 或 2mm 转 2.3mm","联轴器 2转3.17 船模","4","8","以实际电机轴径和内轴径为准","条件否：初始图片已有 2转3mm 联轴器，轴径一致即可沿用"
